Groups,density,CV_bio,PB,PB_CV,QB,QB_CV,EE,Yield,Y_CV
Rhinoceros auklet,0.000276258,0.2,0.1189823,0.1022324,202.2,0.05,-1,0,0
Tufted Puffin,1.81E-04,0.2,0.065,0.2068818,181.1,0.05,-1,0,0
California gull,0.000651829,0.15,0.1352896,0.2934238,193.9,0.05,-1,0,0
Western Gull,0.000963162,0.2,0.1321612,0.1608718,168.65,0.05,-1,0,0
Black-legged kittiwake,1.27E-04,0.2,0.09288535,0.1639581,216.2,0.05,-1,0,0
Albatross,0.000751347,0.1,0.04042195,0.6994737,124.25,0.05,-1,0,0
Northern Fulmar,0.00024052,0.15,0.04337987,0.2106679,199.7,0.05,-1,0,0
Shearwater,0.00363638,0.1,0.07,0.25,182.75,0.05,-1,0,0
Leach's S. Petrel,0.00059601,0.2,0.1240412,0.3704592,407.9,0.05,-1,0,0
Trans. Orcas,0.002673169,0.15,0.02542091,0.1,14.87590663,0.05,-1,0,0
Resident Orcas,0.001094942,0.15,0.02542091,0.15,14.87590663,0.05,-1,0,0
Porpoises,0.026510643,0.33,0.07,0.3339145,36.52,0.05,-1,0,0
Humpback,0.249932809,0.15,0.0377,0.15,7.58,0.05,-1,0,0
Minke,0.005196272,0.3,0.0511,0.1,8.69,0.05,-1,0,0
Fin,0.140079437,0.18,0.0377,0.2,6.516856194,0.05,-1,0,0
Sperm whale,0.018288552,0.31,0.021,0.2,8.812,0.05,-1,0,0
Harbor seals,0.019624161,0.15,0.08265,0.1,24.594,0.05,-1,0,0
Sea Lions,0.098724885,0.15,0.076,0.1,15.1,0.15,-1,0,0
Juv. N. Elephant seals,0.037952869,0.15,0.310375,0.1,14.76,0.15,-1,0,0
Adult N. Elephant seals,0.077504106,0.15,0.227590909,0.05,14.76,0.05,-1,0,0
Fur seals,0.007867377,0.15,0.091,0.1,52.04,0.05,-1,0,0
Blue whale,0.639381628,0.24,0.05,0.2,5.5,0.05,-1,0,0
Gray whale,0.973494401,0.15,0.037,0.2,11.82933333,0.05,-1,0,0
Dolphins,0.071282689,0.33,0.07562789,0.488765,32.33,0.05,-1,0,0
Brandt's cormorant,0.000725157,0.1,0.235,0.1449811,138.1,0.05,-1,0,0
Double-crest corm.,0.000364417,0.05,0.15,0.05,147,0.05,-1,0,0
Pelagic cormorant,0.000263421,0.1,0.15,0.15,142.6,0.05,-1,0,0
Marbled murrelet,2.78E-05,0.05,0.1207722,0.303413,255.1,0.05,-1,0,0
Pigeon Guillemot,9.50E-05,0.15,0.175,0.2371567,205.9,0.05,-1,0,0
Caspian tern,9.36E-05,0.2,0.1088661,0.1118935,189.9,0.05,-1,0,0
Brown Pelican,0.000270332,0.15,0.2,0.2,120.7,0.05,-1,0,0
Detritus,1.00E+01,0,0,0,0,0,-1,0,0
