GroupName,Biomass,EE,PB,QB,GCE,GroupType,BA,Import,SpeciesType
Juv. Ele. Seal,0.037952869,-1,0.310375,14.76,0,Consumer,0,0.328750342,Mammal
Adult N. Ele. Seal,0.077504106,-1,0.227590909,14.76,0,Consumer,0,0.625,Mammal
Fur seals,0.007867377,-1,0.091,52.04,0,Consumer,0,0.454256733,Mammal
Blue whale,0.639381628,-1,0.05,5.5,0,Consumer,0,0.483333333,Mammal
Gray whale,0.973494401,-1,0.037,11.82933333,0,Consumer,0,0.318725818,Mammal
Dolphins,0.071282689,-1,0.07562789,32.33,0,Consumer,0,0.209959154,Mammal
Brandt's corm.,0.000725157,-1,0.235,138.1,0,Consumer,0,0.14796212,Bird
Double corm.,0.000364417,-1,0.15,147,0,Consumer,0,0.308875114,Bird
Pelagic cormorant,0.000263421,-1,0.15,142.6,0,Consumer,0,0.159742499,Bird
Murrelet,2.78E-05,-1,0.1207722,255.1,0,Consumer,0,0.049393279,Bird
Pigeon Guillemot,9.50E-05,-1,0.175,205.9,0,Consumer,0,0.19269871,Bird
Caspian tern,9.36E-05,-1,0.1088661,189.9,0,Consumer,0,0.077532088,Bird
Brown Pelican,0.000270332,-1,0.2,120.7,0,Consumer,0,0.017,Bird
Detritus,1.00E+01,-1,0,0,0,nonLiving,0,0,Other
