Prey\Predator,phytoplankton,infauna,amphipods,epibenthic,micro-zoop,copepods,euphausiids,carniv-zoops,small jellies,large jellies,pandalid shp,benthic shp,dungeness,tanner crb,mesopelagics,benthic fish,surf perch,OTHER CEPHALOPOD,market squid,Sardine,Anchovy,Herring,Chub Mackerel/Pacific,Sandlance,Whitebait smelt,OTHER smelt,Saury,Juvenile rockfish,Juvenile hake,Juvenile flat,Juvenile round,Juvenile thorny,Yellowtail Rockfish,Black Rockfish,Rockfish Friends,Yelloweye,Greenstriped,Rockfish buddies,Shortbelly,Petrale sole,Halibut,Hake,Lingcod,Arrowtooth flounder,Sablefish,Albacore*,Salmon,Grenadiers,Dogfish*,Canary Rockfish,Pacific Ocean Perch,Widow Rockfish,Splitnose Rockfish,Rockfish BFFFs,Shortspine thornyhead,Longspine Thornyhead,Flatfish*,Skates,Sharks*,Common Murre,Cassin's auklet,Rhinoceros auklet,Tufted Puffin,California gull,Western Gull/Glaucous-winged,Black-legged kittiwake,Albatross,Northern Fulmar,Shearwater,Leach's S. Petrel,Orcas (transient),Orcas (residential),Porpoises,Humpback,Minke,Fin,Sperm whale*,Harbor Seals,Sea lions,JUVENILE Northern Elephant seals,ADULT Northern Elephant Seals ,Fur seals,Blue whale,Gray whale,Dolphins,Brandt's cormorant,Double crested cormorant,Pelagic cormorant,Marbled murrelet,Pigeon Guillemot,Caspian tern,Brown Pelican,Detritus,pedigree,pedigree_mult
pandalid shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.007,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0.000956938,0.090781688,0.375445842,0.05,0,0.01,0.017129955,0.007332069,0.01,0.041,0.015,0,0,0.01,0.015,0.03,0.015323777,0.001,0,0.073878628,0.057829629,0.01,0.009203581,0.01,0,0,0.008483804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004804125,0,0,0,0,0,0.6,1000
benthic shp,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.04,0.01,0.005,0,0,0,0,0.003173524,0,0,0,0,0.075,0.014353935,0.015,0,0,0,0.040773313,0.222966507,0.008616215,0.007415055,0.01,0,0.2,0.017774847,0.021333146,0.01,0.0021,0.002,0,0,0.04,0.015,0,0,0,0.001025641,0.01055409,0.150859901,0.25,0.012656055,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003416267,0,0,0,0,0,0,150
dungeness,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000956938,0,0,0,0,0.0025,0.017129955,0,0.05,0.0021,0.001,0,0,0,0.03,0,0,0,0.001025641,0,0,0,0,0.05,0.0025,0,0,0,0,0,0.001154068,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
tanner crb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.000685198,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0.168460223,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,300
mesopelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.021,0,0,0,0,0,0,0,0,0,0.004,0.058242552,0,0,0,0.05,0,0,0,0.014360803,0.08,0,0,0,0.084342794,0.004,0.004,0.025,0.001239465,0.008,0.05,0,0.018,0.059317845,0.035,0.01025641,0.052770449,0.037212109,0.1,0,0.029,0.013,0.010803883,0,0,0.084392145,0,0.032313907,0.016354017,0.00129122,0,0.001568858,0.29717682,0,0.012550738,0.04,0,0,0.05,0.033467202,0.04,0.02,0.045807063,0,0.013104391,0,0,0.203229317,0.033485063,0.011532363,0.001580023,0,0,0,0,0,0.6,1000
benthic fish,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.016320979,0,0,0,0.055669633,0.003,0,0,0,0,0.01,0.025,0.028708134,0.141181356,0,0.03,0,0.124,0.018331067,0.005108917,0.25,0.009,0.05,0,0.003,0.05,0.07,0,0.009886307,0,0.001025641,0,0.050286634,0.05,0,0.02,0.013,0.088664905,0,0,0,0,0.002308136,0,0,0,0,0.000990589,0,0.031376846,0.02525,0,0,0,0,0.05,0.02,0.036998013,0,0.006006179,0,0,0.01154831,0.030345838,0.029311422,0.387847699,0,0.383965574,0.058752289,0,0,0.6,1000
surf perch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024401914,0,0,0,0,0,0.004131342,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0.0433822,0,0,0,0,0.003462204,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.01,0.002642715,0,0,0,0,0.00311308,0.046355883,0.36692134,0,0.010889857,0.004856257,0.185286551,0,0,0.2,300
OTHER CEPHALOPOD,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.02,0.001,0,0.001,0.005432756,0,0.001032775,0,0.001360082,0,0,0,0,0,0.001247296,0,0,0,0.03,0,0.009569378,0.006384304,0.012577436,0.005,0,0.0045,0,0.041393379,0.145,0.005,0.075,0.034457115,0.001,0.3,0.04,0,0.019772615,0.005,0.002051282,0.013192612,0.025143317,0.05,0,0.06,0.16,0.019268653,0.001419019,0.009500539,0.009383484,0.135259457,0.01067513,0,0.161402463,0.352422908,0.096388299,0.034670629,0,0.056478323,0.345,0.005,0.031099108,0.05,0.602409639,0.025,0.11,0.125969424,0.228304119,0.109203255,0,0,0.211653236,0.011772092,0,0.001580023,0,0.026476558,0,0,0,0.2,300
market squid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072537686,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.005,0,0,0.064489241,0.001280207,0.005,0,0.006,0.008180466,0.03,0,0.02,0,0.009886307,0,0,0,0,0,0,0.025,0.012,0.116886787,0,0.057504814,0.005592139,0.243467023,0.09982689,0.394420395,0,0.066079295,0.18347122,0,0,0,0.14,0,0,0,0,0.025,0.11,0.258986088,0.001755435,0.04095122,0,0,0.075797978,0.009940878,0,0,0.108509645,0,0,0,0,0.8,1500
Sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.057303021,0,0,0,0,0.140465628,0.01000811,0,0,0.01,0.009915716,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.005020295,0.03425,0.1,0.088854593,0.025,0.073627845,0,0.12,0,0,0.013650407,0,0,0.036532744,0,0,0,0.023724331,0,0.025082318,0.262,0,1,2000
Anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.005,0.010332892,0,0,0,0,0,0,0,0.019164956,0,0,0,0.001,0,0,0.128,0.071770335,0.002076196,0,0.09,0,0.05,0.080248799,0.004564939,0.015,0,0.012,0.058502727,0.2,0,0.045,0,0,0,0,0,0,0,0.001343497,0.001,0.08,0.185872249,0,0.156178244,0.007277399,0.187282325,0.135603001,0.076960077,0,0,0.079580387,0,0,0,0.09,0.05,0.13328189,0.025,0,0.105,0.028,0.002642715,0,0.087362604,0,0,0.038696613,0.107256841,0.133583201,0,0.18434972,0,0.097275207,0.644,0,0.6,1000
Herring,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.001,0,0.08,0.11,0.005263158,0.275718883,0.009855453,0.06,0,0.025,0.021765119,0.01,0.022,0.11,0.04,0.001363411,0.135,0,0.05,0.015,0,0,0,0,0.008548728,0,0,0,0.024,0.068239794,0,0.065217837,0,0,0.128967109,0,0,0,0.000675555,0,0,0.062753692,0.01,0.0225,0.031099108,0.025,0,0.035,0.02,0,0,0.030030895,0,0,0,0.019044629,0.010090817,0,0.134761979,0,0.056693669,0,0,0.8,1500
Chub Mackerel/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058040317,0,0,0,0,0,0,0,0,0,0.005437469,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0.018826107,0.001,0,0.00444273,0,0,0,0.015,0,0,0,0,0,0.022423125,0,0,0,0,0,0,0.022,0,0.6,1000
Sandlance,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.029468435,0,0,0,0.046543463,0,0,0,0.001,0,0.01,0.01,0,0,0.009855453,0,0,0.001,0.021765119,0,0.015,0.051,0,0,0.014,0,0.001,0.005,0,0,0.003076923,0.042216359,0,0,0.001343497,0.023,0,0.032412758,0,0.243594243,0.354949512,0,0.201961916,0,0,0,0,0,0,0,0,0,0.026656378,0.025,0,0.02,0.01,0,0,0,0,0,0,0,0.02258421,0.069392919,0.145457374,0.022852919,0.033128731,0,0,0.8,1500
Whitebait smelt,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.08,0.071770335,0,0,0,0,0,0,0.001007732,0.02,0,0,0,0.005,0,0.001,0,0,0,0,0,0,0,0,0,0,0.015429374,0,0.005826112,0,0,0,0,0,0,0,0,0,0,0,0,0.00444273,0,0,0.01,0.001,0,0,0,0,0,0,0,0,0,0,0,0.011302649,0,0,0.8,1500
OTHER smelt,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.006558775,0,0,0.009855453,0,0,0,0.00544128,0.00852558,0,0.01,0,0,0.04,0,0.01,0,0.002965892,0.015,0,0,0,0,0,0,0,0.052946413,0,0.05961413,0,0,0,0,0,0,0,0,0,0,0.027,0,0.022213649,0,0,0.1,0.01,0,0,0.002730081,0,0,0,0.010307121,0,0,0.075451151,0,0.064048342,0,0,0.6,1000
Saury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0.004564939,0.004,0,0.003,0.050818047,0.022,0,0.01,0,0,0,0,0,0.006034396,0,0,0,0.02,0,0,0.056163617,0.081609986,0,0.175995384,0,0.025824394,0,0.047600798,0,0,0,0.022,0,0.026656378,0,0,0,0.01,0,0,0.030030895,0,0,0.002470927,0,0,0,0,0,0,0.033,0,0.8,1500
Juvenile rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.003,0,0.002,0.015659121,0,0,0,0.003173524,0,0,0,0,0,0,0,0,0,0.03,0.03,0.011961722,0.018685768,0,0.015,0,0.001,0,0.004484809,0.01,0.002,0.03,0.001363411,0.055,0,0.02,0,0,0.02,0,0,0.050286634,0.015,0,0.012,0,0.203692333,0,0.139667881,0.339156602,0,0.075014426,0,0,0.015418502,0.019816273,0.118870728,0,0,0.002,0.0225,0.00444273,0,0,0.01,0.13,0.022903532,0,0,0,0,0.02534677,0.456233977,0.110758733,0.36234847,0.088285625,0.182133232,0,0.022,0,0.6,1000
Juvenile hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012057306,0,0,0,0.01,0.005,0,0,0,0.03,0,0.001,0.010076444,0.047636206,0,0.188,0.018,0.076846802,0.01,0.05,0.02,0,0,0,0,0,0,0,0,0,0.05,0.06429886,0,0.002097626,0,0,0.034622043,0,0,0,0.000675555,0,0,0,0,0,0.017770919,0,0,0.01,0.09,0.100423177,0,0,0,0,0.097254805,0,0,0,0,0,0.002493766,0,0,0.8,1500
Juvenile flat,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.02,0,0.002,0.010332892,0,0,0,0.003173524,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0,0.02,0.010076444,0,0.025,0.0134,0.003,0,0.01,0,0.02,0,0,0.002,0,0,0,0,0,0.05,0,0.031575725,0,0.00E+00,0,0,0.005193306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.002642715,0,0,0,0,0.019843823,0.113169047,0.003459709,0.002370035,0,0.166656888,0.001949403,0,0,0,150
Juvenile round,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0.002,0,0,0,0,0.003173524,0,0,0,0,0,0,0,0,0,0.005,0,0.003827751,0,0,0.005,0,0,0.010076444,0,0.027,0.003,0.025,0,0.01,0,0.0125,0,0,0.002,0,0,0,0,0,0.01,0.004,0.02627184,0,0.006922515,0.041048973,0,0,0,0,0,0.004949029,0,0,0,0.01,0,0,0,0,0.01,0.01,0.020260816,0,0.005460163,0,0,0,0.005232041,0,0,0,0.020359861,0,0,0,0.6,1000
Juvenile thorny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.050286634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Yellowtail Rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020761964,0,0.002,0,0,0.001733148,0,0.0078,0.0014,0.002,0,0,0,0.001,0,0,0,0,0,0,0,0,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.001882611,0.006,0,0,0,0.017849174,0.008,0.0061,0,0.001560387,0.010920326,0,0,0,0,0,0,0,0,0,0,0,0.8,1500
Black Rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005190491,0,0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0.004462294,0.002,0.0014,0,0,0.002730081,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Rockfish Friends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003114295,0,0,0,0,0,0,0.0012,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169435,0.001,0,0,0,0.002677376,0.001,0.001,0,0,0.001638049,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Yelloweye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001584531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,500
Greenstriped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003114295,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.003569835,0.001,0.0011,0,0,0.002184065,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Rockfish buddies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015571473,0,0.002,0,0,0.001309938,0,0.0062,0.001,0.0015,0,0,0,0,0,0,0,0,0,0.002112039,0,0,0.007,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0.001255074,0.005,0,0,0,0.01427934,0.006,0.005,0,0.00124831,0.00873626,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Shortbelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012457178,0,0.001,0,0,0.001007644,0,0.0051,0.001,0.02,0,0,0,0.001,0,0,0,0,0,0.001709746,0,0,0.022,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.001066813,0.004,0,0,0,0.011601963,0.005,0.0041,0,0.001014252,0.007098212,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Petrale sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001088256,0,0.0055,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Halibut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.012550738,0,0,0,0,0.022311468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1500
Hake*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.184902746,0,0.103,0.377,0.2,0,0,0,0.155,0,0,0.02,0,0,0.130745248,0,0,0.024,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0.025101477,0.1251,0,0,0,0.044622936,0.1,0.09,0,0.043203214,0.100740003,0,0,0,0,0,0,0,0,0,0,0,0.8,1500
Lingcod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.037652215,0,0,0,0,0.022311468,0.018,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Arrowtooth flounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.00362752,0,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0.001005733,0,0,0.005,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.005020295,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Sablefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018826107,0.005,0,0,0,0.033467202,0,0.01,0,0,0.010920326,0,0,0,0,0,0,0,0,0,0,0,0.6,1000
Albacore*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0.001255074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1500
Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064669523,0.004784689,0,0,0,0,0,0.018137599,0,0.001,0.001,0.002,0.001363411,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.022612781,0,0.083775122,0,0,0.046739758,0,0,0,0,0,0,0.251014767,0.02,0,0.017770919,0,0,0.075,0.03,0,0,0.038221139,0,0,0,0,0.002883091,0,0,0,0.386454988,0,0,1,2000
